network,n_nodes,n_edges,n_clusters,n_components,method,runtime_sec,n_cores,full_recovery_rate,clean_recovery_rate,mean_recovery,n_split,n_merged
lesmis,69,88,12,12,Leiden-mod,0.001,12,1.0,1.0,1.0,0,0
lesmis,69,88,12,12,Leiden-CPM-0.01,0.001,12,1.0,1.0,1.0,0,0
lesmis,69,88,12,12,Leiden-CPM-0.1,0.001,12,0.75,0.75,0.875,3,0
lesmis,69,88,12,12,Leiden-CPM-0.5,0.001,12,0.75,0.75,0.875,3,0
lesmis,69,88,12,12,Curvature,0.34,12,0.9167,0.0,0.9583,1,11
train_terrorists,53,87,6,6,Leiden-mod,0.001,6,0.8333,0.8333,0.9167,1,0
train_terrorists,53,87,6,6,Leiden-CPM-0.01,0.001,6,1.0,1.0,1.0,0,0
train_terrorists,53,87,6,6,Leiden-CPM-0.1,0.001,6,0.6667,0.6667,0.8333,2,0
train_terrorists,53,87,6,6,Leiden-CPM-0.5,0.001,6,0.5,0.5,0.7778,3,0
train_terrorists,53,87,6,6,Curvature,0.41,6,0.8333,0.0,0.9167,1,5
highschool,70,131,5,5,Leiden-mod,0.001,5,0.8,0.8,0.9,1,0
highschool,70,131,5,5,Leiden-CPM-0.01,0.001,5,0.8,0.8,0.9,1,0
highschool,70,131,5,5,Leiden-CPM-0.1,0.001,5,0.8,0.8,0.9,1,0
highschool,70,131,5,5,Leiden-CPM-0.5,0.001,5,0.4,0.4,0.7833,3,0
highschool,70,131,5,5,Curvature,0.34,5,0.8,0.0,0.9,1,4
cs_department,61,109,5,5,Leiden-mod,0.001,5,0.8,0.8,0.9,1,0
cs_department,61,109,5,5,Leiden-CPM-0.01,0.001,5,1.0,1.0,1.0,0,0
cs_department,61,109,5,5,Leiden-CPM-0.1,0.001,5,0.8,0.8,0.9,1,0
cs_department,61,109,5,5,Leiden-CPM-0.5,0.001,5,0.4,0.4,0.7667,3,0
cs_department,61,109,5,5,Curvature,0.35,5,1.0,0.2,1.0,0,4
sp_kenyan_households,47,108,6,6,Leiden-mod,0.001,6,1.0,1.0,1.0,0,0
sp_kenyan_households,47,108,6,6,Leiden-CPM-0.01,0.0,6,1.0,1.0,1.0,0,0
sp_kenyan_households,47,108,6,6,Leiden-CPM-0.1,0.001,6,1.0,1.0,1.0,0,0
sp_kenyan_households,47,108,6,6,Leiden-CPM-0.5,0.001,6,0.8333,0.8333,0.9444,1,0
sp_kenyan_households,47,108,6,6,Curvature,0.39,6,1.0,0.1667,1.0,0,5
sp_office,89,232,7,7,Leiden-mod,0.001,7,1.0,1.0,1.0,0,0
sp_office,89,232,7,7,Leiden-CPM-0.01,0.001,7,1.0,1.0,1.0,0,0
sp_office,89,232,7,7,Leiden-CPM-0.1,0.001,7,0.8571,0.8571,0.9286,1,0
sp_office,89,232,7,7,Leiden-CPM-0.5,0.001,7,0.5714,0.5714,0.8452,3,0
sp_office,89,232,7,7,Curvature,0.43,7,1.0,0.1429,1.0,0,6
law_firm,69,336,7,7,Leiden-mod,0.001,7,1.0,1.0,1.0,0,0
law_firm,69,336,7,7,Leiden-CPM-0.01,0.001,7,1.0,1.0,1.0,0,0
law_firm,69,336,7,7,Leiden-CPM-0.1,0.001,7,0.8571,0.8571,0.9286,1,0
law_firm,69,336,7,7,Leiden-CPM-0.5,0.001,7,0.8571,0.8571,0.9286,1,0
law_firm,69,336,7,7,Curvature,0.75,7,1.0,0.1429,1.0,0,6
sp_hospital,62,203,9,9,Leiden-mod,0.001,9,0.8889,0.8889,0.963,1,0
sp_hospital,62,203,9,9,Leiden-CPM-0.01,0.001,9,1.0,1.0,1.0,0,0
sp_hospital,62,203,9,9,Leiden-CPM-0.1,0.001,9,1.0,1.0,1.0,0,0
sp_hospital,62,203,9,9,Leiden-CPM-0.5,0.001,9,0.6667,0.6667,0.8704,3,0
sp_hospital,62,203,9,9,Curvature,0.75,9,1.0,0.1111,1.0,0,8
faa_routes,1173,1160,13,13,Leiden-mod,0.01,13,0.6154,0.6154,0.8077,5,0
faa_routes,1173,1160,13,13,Leiden-CPM-0.01,0.011,13,0.5385,0.5385,0.7692,6,0
faa_routes,1173,1160,13,13,Leiden-CPM-0.1,0.008,13,0.5385,0.5385,0.7692,6,0
faa_routes,1173,1160,13,13,Leiden-CPM-0.5,0.009,13,0.4615,0.4615,0.7308,7,0
faa_routes,1173,1160,13,13,Curvature,0.48,13,0.9231,0.0,0.9615,1,12
reality_mining,92,885,5,5,Leiden-mod,0.002,5,1.0,1.0,1.0,0,0
reality_mining,92,885,5,5,Leiden-CPM-0.01,0.001,5,1.0,1.0,1.0,0,0
reality_mining,92,885,5,5,Leiden-CPM-0.1,0.001,5,1.0,1.0,1.0,0,0
reality_mining,92,885,5,5,Leiden-CPM-0.5,0.002,5,0.6,0.6,0.8333,2,0
reality_mining,92,885,5,5,Curvature,1.96,5,1.0,0.2,1.0,0,4
netscience,1442,1682,285,285,Leiden-mod,0.01,285,0.993,0.993,0.9965,2,0
netscience,1442,1682,285,285,Leiden-CPM-0.01,0.01,285,0.9719,0.9719,0.986,8,0
netscience,1442,1682,285,285,Leiden-CPM-0.1,0.019,285,0.9123,0.9123,0.9561,25,0
netscience,1442,1682,285,285,Leiden-CPM-0.5,0.015,285,0.8175,0.8175,0.9166,52,0
netscience,1442,1682,285,285,Curvature,0.32,285,0.9965,0.0,0.9982,1,284
interactome_stelzl,772,555,217,217,Leiden-mod,0.007,217,0.9954,0.9954,0.9977,1,0
interactome_stelzl,772,555,217,217,Leiden-CPM-0.01,0.009,217,0.9816,0.9816,0.9908,4,0
interactome_stelzl,772,555,217,217,Leiden-CPM-0.1,0.008,217,0.9171,0.9171,0.9585,18,0
interactome_stelzl,772,555,217,217,Leiden-CPM-0.5,0.005,217,0.682,0.682,0.841,69,0
interactome_stelzl,772,555,217,217,Curvature,0.3,217,1.0,0.0046,1.0,0,216
new_zealand_collab,717,649,143,143,Leiden-mod,0.006,143,0.986,0.986,0.993,2,0
new_zealand_collab,717,649,143,143,Leiden-CPM-0.01,0.004,143,0.979,0.979,0.9895,3,0
new_zealand_collab,717,649,143,143,Leiden-CPM-0.1,0.008,143,0.965,0.965,0.9825,5,0
new_zealand_collab,717,649,143,143,Leiden-CPM-0.5,0.007,143,0.8671,0.8671,0.9359,19,0
new_zealand_collab,717,649,143,143,Curvature,0.37,143,0.993,0.0,0.9965,1,142
interactome_figeys,295,266,29,29,Leiden-mod,0.002,29,0.931,0.931,0.9655,2,0
interactome_figeys,295,266,29,29,Leiden-CPM-0.01,0.002,29,0.931,0.931,0.9655,2,0
interactome_figeys,295,266,29,29,Leiden-CPM-0.1,0.002,29,0.7931,0.7931,0.8966,6,0
interactome_figeys,295,266,29,29,Leiden-CPM-0.5,0.002,29,0.8621,0.8621,0.931,4,0
interactome_figeys,295,266,29,29,Curvature,0.36,29,0.9655,0.0,0.9828,1,28
collins_yeast,1616,1801,232,232,Leiden-mod,0.012,232,0.9914,0.9914,0.9957,2,0
collins_yeast,1616,1801,232,232,Leiden-CPM-0.01,0.016,232,0.9267,0.9267,0.9634,17,0
collins_yeast,1616,1801,232,232,Leiden-CPM-0.1,0.025,232,0.875,0.875,0.9382,29,0
collins_yeast,1616,1801,232,232,Leiden-CPM-0.5,0.016,232,0.7543,0.7543,0.884,57,0
collins_yeast,1616,1801,232,232,Curvature,0.34,232,0.9957,0.0,0.9978,1,231
bible_nouns,1735,1716,109,109,Leiden-mod,0.012,109,0.9358,0.9358,0.9679,7,0
bible_nouns,1735,1716,109,109,Leiden-CPM-0.01,0.013,109,0.7615,0.7615,0.8807,26,0
bible_nouns,1735,1716,109,109,Leiden-CPM-0.1,0.013,109,0.7248,0.7248,0.8639,30,0
bible_nouns,1735,1716,109,109,Leiden-CPM-0.5,0.018,109,0.6422,0.6422,0.8272,39,0
bible_nouns,1735,1716,109,109,Curvature,0.32,109,0.9908,0.0,0.9954,1,108
dnc,576,1065,55,55,Leiden-mod,0.007,55,0.9455,0.9455,0.9727,3,0
dnc,576,1065,55,55,Leiden-CPM-0.01,0.006,55,0.9273,0.9273,0.9636,4,0
dnc,576,1065,55,55,Leiden-CPM-0.1,0.009,55,0.8909,0.8909,0.9485,6,0
dnc,576,1065,55,55,Leiden-CPM-0.5,0.01,55,0.7636,0.7636,0.9055,13,0
dnc,576,1065,55,55,Curvature,0.32,55,0.9818,0.0,0.9909,1,54
